trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
690,False,"{'a': 0.4, 'e': 0.8571223518874167}",30,12,-119.21714505335517,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 2}",1
691,False,"{'a': 0.4, 'e': 0.85671751886504965}",20,0,-98.95841996709645,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
692,False,"{'a': 0.4, 'e': 0.85631215737627264}",20,0,-42.41359933556958,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
693,False,"{'a': 0.4, 'e': 0.85590626767113298}",30,0,-106.8728717312178,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
694,False,"{'a': 0.4, 'e': 0.85549985000000384}",20,0,-148.61551032802703,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
695,False,"{'a': 0.4, 'e': 0.855092904613584}",20,0,-161.82169042953515,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
696,False,"{'a': 0.4, 'e': 0.85468543176289791}",20,3,-54.27889922168194,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 0}",1
697,False,"{'a': 0.4, 'e': 0.85427743169929515}",25,0,-102.86658880054608,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
698,False,"{'a': 0.4, 'e': 0.85386890467445076}",20,0,-125.94376160620098,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
699,False,"{'a': 0.4, 'e': 0.85345985094036481}",30,4,-267.2830273939926,"{0: 10, 1: 4, 2: 6, 3: 2, 4: 4}",1
700,False,"{'a': 0.4, 'e': 0.85305027074936213}",30,0,-114.31331610840972,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
701,False,"{'a': 0.4, 'e': 0.85264016435409229}",20,0,-76.68603385893947,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
702,False,"{'a': 0.4, 'e': 0.85222953200752949}",20,0,-166.61315209004735,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
703,False,"{'a': 0.4, 'e': 0.85181837396297255}",20,0,-75.81590617270885,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
704,False,"{'a': 0.4, 'e': 0.85140669047404427}",25,18,6.041735632769676,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.4, 'e': 0.85099448179469184}",25,14,-114.90926015573658,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 2}",1
706,False,"{'a': 0.4, 'e': 0.85058174817918619}",25,0,-53.679884582418474,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
707,False,"{'a': 0.4, 'e': 0.85016848988212224}",25,0,-97.2565497757117,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
708,False,"{'a': 0.4, 'e': 0.84975470715841839}",20,0,-65.57309729927009,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
709,False,"{'a': 0.4, 'e': 0.84934040026331648}",20,0,-61.0607607215972,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
710,False,"{'a': 0.4, 'e': 0.84892556945238218}",20,0,-30.74474894537738,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
711,False,"{'a': 0.4, 'e': 0.84851021498150359}",25,0,-75.03488556116787,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
712,False,"{'a': 0.4, 'e': 0.84809433710689253}",20,0,-33.022301362772396,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
713,False,"{'a': 0.4, 'e': 0.84767793608508324}",20,13,-15.83954323874759,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
714,False,"{'a': 0.4, 'e': 0.8472610121729327}",30,0,-114.29421657845016,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
715,False,"{'a': 0.4, 'e': 0.84684356562762075}",20,0,-75.28975749888724,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
716,False,"{'a': 0.4, 'e': 0.84642559670664907}",20,0,-66.89990536009951,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
717,False,"{'a': 0.4, 'e': 0.84600710566784221}",35,0,-148.12066494468687,"{0: 21, 1: 6, 2: 4, 3: 3, 4: 1}",0
718,False,"{'a': 0.4, 'e': 0.84558809276934621}",20,0,-83.50658818465257,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
719,False,"{'a': 0.4, 'e': 0.84516855826962956}",30,12,-62.05379448662668,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 0}",1
720,False,"{'a': 0.4, 'e': 0.8447485024274819}",25,0,-181.07753915733258,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
721,False,"{'a': 0.4, 'e': 0.84432792550201508}",25,0,-76.45284482103231,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",1
722,False,"{'a': 0.4, 'e': 0.84390682775266179}",20,0,-125.99237931223533,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
723,False,"{'a': 0.4, 'e': 0.8434852094391766}",20,0,-74.97308346748213,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
